setting,defined_in,read_by,bucket,default,effective_on_sa_de_run,effective_value_source,verdict,note
"DAMP_THETA_S (module-level Ref, solver/params.jl:38)",solver/params.jl,solver/skilled.jl:solve_skilled_block!,a_live_forwarded,0.9,0.9,traced (never assigned at run time; no writer exists),"live: read on every skilled solve. Deliberately not env-settable - it changes the solver's fixed point, so a silent override would break comparability",a Ref rather than a SimParams field: a new field invalidates every bundle on disk
ROYSEARCH_DE_ADAPT_FCR,smm/smm_main.jl,smm.jl:_run_de,a_live_forwarded,true,true,measured (run default),live and forwarded: reaches its consumer on the measured run,"""selects whether DE_F and DE_CR are used as set or read off the draws"""
ROYSEARCH_DE_GEN_PER_K,smm/smm_main.jl,smm.jl:generate_population,a_live_forwarded,60,1,measured (run override),live and forwarded: reaches its consumer on the measured run,"""candidates drawn at each sparsity k = 1:n_free"""
ROYSEARCH_DE_LOCAL_SIGMA,smm/smm_main.jl,smm.jl:generate_population,a_live_forwarded,0.33,0.33,measured (run default),live and forwarded: reaches its consumer on the measured run,"""perturbation as a fraction of each coordinate's own ΔQ<1 width"""
ROYSEARCH_DE_MAX_ITER,smm/smm_main.jl,smm.jl:_run_de,a_live_forwarded,3_000,2,measured (run override),live and forwarded: reaches its consumer on the measured run,"""generation cap"""
ROYSEARCH_DE_MAX_REHEATS,smm/smm_main.jl,smm.jl:_run_de,a_live_forwarded,20,1,measured (run override),live and forwarded: reaches its consumer on the measured run,"""reheat cap; a barren reheat ends the run first"""
ROYSEARCH_DE_PATIENCE,smm/smm_main.jl,smm.jl:_run_de,a_live_forwarded,25,25,measured (run default),live and forwarded: reaches its consumer on the measured run,"""generations without improvement before stopping"""
ROYSEARCH_DE_POP_SIZE,smm/smm_main.jl,smm.jl:_run_de,a_live_forwarded,240,6,measured (run override),live and forwarded: reaches its consumer on the measured run,"""0 ⇒ 10·n_free_params"""
ROYSEARCH_DE_REHEAT_FLAT,smm/smm_main.jl,smm.jl:_run_de,a_live_forwarded,6,6,measured (run default),live and forwarded: reaches its consumer on the measured run,"""flat generations before a reheat"""
ROYSEARCH_DE_REHEAT_RATE,smm/smm_main.jl,smm.jl:_run_de,a_live_forwarded,0.04,0.04,measured (run default),live and forwarded: reaches its consumer on the measured run,"""improved-member rate below which a reheat fires"""
ROYSEARCH_INIT_MODE,smm/smm_main.jl,smm_main.jl:top level,a_live_forwarded,:warmstart,warmstart,measured (run override),live and forwarded: reaches its consumer on the measured run,""":default, :warmstart or :clusters — selects how the optimiser is seeded"""
ROYSEARCH_LAMBDA_W,smm/smm_main.jl,moments.jl:calibrate_sigma_w,a_live_forwarded,0.78,0.78,measured (run default),live and forwarded: reaches its consumer on the measured run,"""wage-reliability knob; σ_w is calibrated from it, never estimated"""
